id_user,id_novel,nama_user,tanggal_ulasan,ulasan,rating_user
U2400017,NI240027,Anggi Sekar Anggraeni,3 April 2020,"Baca buku ini ketika kelas 2 SMA, buku yang sudah agak sedikit rapuh dan berada disusunan rak terbawah ini mampu mengaduk perasaan saya sedemikian rupa.",4
U2400018,NI240044,Anggodo Goenawan,29 September 2022,"Baru kali ini aku seperti merasakan Seno menulis dengan narasi yang gamang. Seperti kurang meyakinkan begitu, menurut subjektifku. Seperti memang dibuat konsep begitu. Atau tema dalam novel ini begitu sensitif? Harusnya, ketika jurnalisme dibungkam, sastra bicara bukan Mas Seno?",3
U2400019,NI240033,Ann Crane,5 November 2013,"what did you think---tanya goodreads.. dan yang terpikir pertama kali di benak saya adalah...


KURANG DESKRIPSIIIIII!!!!!!! #CAPSJEBOOOLL",3
U2400020,NI240027,Ann T,16 Juli 2020,"Mungkin ini buku dikarang zaman dulu, tingkah laku peran2 utamanya akak kurang masuk akal buat saya.",2
U2400021,NI240009,Anna S.,9 Januari 2010,"Salut kepada Pram, bisa-bisanya dia berlagak seperti seorang Eropa dengan yakinnya, memberikan narasi mengenai intrik seputar kolonialisme dari sudut pandang orang dalam (yang telah terlanjur kupercayai walaupun belum tentu valid), sekaligus menjadi seorang Pribumi yang tak ada bandingannya dalam mengerti karakteristik bangsanya. Benar-benar dia adalah harta pusaka bangsa ini, semoga bukunya dibaca hingga ke generasi-generasi yang akan datang; mengingat hidup yang lebih terarah bila kita mengerti latar belakang permasalahan.

Di bawah ini kutipan yang sungguh tidak boleh terlupakan:

Menjadi perabot kekuasaan seperti ini, makin ke atas makin besar mulut, kuping hilang; makin ke bawah makin besar kuping, mulut hilang""
--
""Kalau setinggi itu puji-pujian Tuan pada Jawa, mengapa dia bisa dikalahkan oleh Eropa?""
""Pertama-tama karena bangsa ini mempunyai watak selalu mencari-cari kesamaan, keselarasan, melupakan perbedaan untuk menghindari bentrokan sosial. Dia tunduk dan taat pada ini, sampai kadang tak ada batasnya. Akhirnya dalam perkembangannya yang sering, ia terjatuh pada satu kompromi ke kompromi lain dan kehilangan prinsip-prinsip. Ia lebih suka penyesuaian daripada cekcok urusan prinsip.""
--
""Ia pernah mengatakan pada salah seorang temannya: orang boleh pandai setinggi langit, tapi selama ia tidak menulis, ia akan menghilang di dalam masyarakat dan dari sejarah.""
--
""Betapa bedanya bangsa-bangsa Hindia ini dari bangsa Eropa. Di Eropa setiap orang yang memberikan sesuatu yang baru pada umat manusia dengan sendirinya mendapat tempat yang selayaknya di dunia dan di sejarahnya. Di Hindia, nampaknya setiap orang takut tak mendapat tempat dan berebutan untuk menguasainya.
--


Pada jaman Soeharto dahulu, akibat dari kediktatorannya adalah pembungkaman terhadap naskah-naskah sejarah juga terhadap suara-suara sumir yang gerah akan ketidakadilan dimana-mana. Juga, akibat dari kediktatorannya itu adalah masyarakat yang tertib disiplin walaupun itu bukan perilaku dari pikiran yang sadar, karenanya Indonesia bisa sampai pada prestasi yang gilang gemilang diantara sesama Asia, hingga timbullah nama Indonesia sebagai macan Asia.

Naskah Pram banyak yang diberangus semasa Soeharto. Pada sekolah formal di jaman itu, organisasi seperti Serikat Islam dan Boedi Moeljo hanya dipaparkan sesingkat-singkatnya. Pertanyaan dalam ulangan pun lebih tidak penting lagi, hanya menanyakan kapan didirikan dan siapa tokohnya. Merupakan hadiah tersendiri bagi demokrasi, kini naskahnya sudah bisa dibaca dengan bebas walaupun kurang diperhatikan.Orang banyak lebih senang beradu mulut mengenai kasus yang apabila diambil perbandingannya dengan apa yang dikisahkan dalam buku ini, seperti remeh temeh saja.

Kebebasan yang telah dirintis pada masa proklamasi hilang tergerus orba, kini orba telah hilang namun semangat itu belum bisa kembali karena bangsa terlena oleh kebisaannya yang baru didapat setelah tiran runtuh: berbicara. Sampai sulit negara maju barang selangkah karena terlampau banyak orang memberi kritik, yang entah karena memang dalam pengetahuannya ataupun karena sirik hatinya. Dalam pengukurannya, bukan tidak mungkin kemajuan Pribumi berlogika sejak jaman dulu sangat sedikit, tapi bisa dibilang minus. Sayang sekali orang kurang berminat membaca sejarah, hanya dengan pikiran yang penuh orang bisa mengeluarkan kata yang baik dan bijak.

Walaupun begitu baik semuanya, tetap saja seperti penyakit seperti pada penulis Indonesia lain, Pram mendewakan tokoh utama berlebihan :(",5
U2400022,NI240039,Annida,26 Januari 2023,Membaca buku ini demi melihat perkembangan Rafael.,3
U2400023,NI240016,April Silalahi,1 Agustus 2015,"""tujuan pacaran adalah untuk putus. Bisa karena menikah, bisa karena berpisah.""

Ini kisah Dilan dan Milea satu tahun setelah buku pertamanya. Tahun 1991.
Milea masih menceritakan kelanjutan kisah pacarannya dengan Dilan. Setelah peresmian hubungan mereka yang konyol di dalam warung.

Masih sama menghibur. Milea masih mendampingi Dilan yang tambah sering membuat onar bersama genk motornya.

""Kamu harus tau, senakal-nakalnya anak genk motor, mereka juga shalat pada waktu ujian praktek agama.""

PRAKTEK AGAMA! gila emang kang Pidi pemilihan katanya. hahahahahaha..

Beberapa kali Milea berusaha membuat Dilan lebih baik dengan tidak ikut genk motor lagi. Tapi Dilan memang punya sifat tidak ingin di kekang.

""kalau kamu ninggalin aku, itu hak kamu, asal jangan aku yang ninggalin kamu. Aku takut kamu kecewa.""

di Novel ini juga masih digambarkan gimana Milea memang sosok wanita Bandung yang geulis, banyak laki-laki yang mendekatinya. Sayang hatinya masih untuk Dilan.

Sedih baca kisah dilan kedua ini. Gimana Dilan dan Milea sama-sama menyanyangi, tapi Milea harus menyerah akan sikap Dilan yang bandel.
Gue masih suka sama penggambaran Dilan yang tidak bisa ditebak. Dia membuat pembaca ikut tertawa akan usaha banyolannya.
bahkan dengan kalimat sederhana yang kang Pidi ciptakan : ""itu langit"" ""itu pohon""

Gelo!
Tp gue mau protes akan kisah menjelang akhir! kemana Dilan kang Pidi???? kemana dia?????

Gue cukup sedih sih gitu menjelang buku ini selesai. Gak rela aja Dilan kayaknya gak ada usahanya memperbaiki apa yang sudah rusak.

Dan gue rasa kisah Dilan biarlah cukup sampai buku kedua ini. Jangan dirusak jika ada seri ketiganya. Bakalan gak sesuai sama pembaca harapin pastinya :')

Terimakasih kang Pidi akan gombalan tahun 90 an bersama Dilan.",4
U2400024,NI240028,Aqvanni,22 Juni 2017,Komet. Kpn kamu terbit??? 😅😅,5
U2400025,NI240035,Herijon Muhammad Syahril,16 Januari 2015,bagus,5
U2400026,NI240045,Ardani Subagio,28 April 2013,"Review menyusul. Tapi singkatnya, ini masih sebuah prolog.",3
U2400027,NI240024,Ari Teguh Nugraha ,8 April 2023,"Ending-nya nggak nyangka banget. Sejauh ini, ini buku terbaik dari buku2 Ilana Tan yang sudah saya baca.",5
U2400028,NI240030,Ariel Seraphino,2 Desember 2019,"""Bukankah setiap makhluk hidup di dunia mendambakan surga, walau secuil saja, sehingga rela mengembara ke mana pun demi menemukannya?"" Hal. 91.

Saya selalu suka dengan kisah fiksi yang berangkat dari kisah nyata. Hal ini membuat saya selalu ingin tahu bagaimana dan seperti apa tokoh-tokoh aslinya di dunia nyata, membanding-bandingkan juga mereka setiap kisah dan perkataan yang bisa jadi pernah ada. Dan buku ini adalah salah satu dari kisah nyata yang bukan saja dikemas dengan baik oleh penulisnya tetapi juga menawarkan suatu pemikiran yang mendalam terutama bagi saya pribadi. Saya menimbang-nimbang hal apa yang begitu kuat menjadi pesan dalam buku ini ketika akhirnya berhasil menamatkannya. Dan saya sampai pada kalimat di halaman 91 seperti tertera di atas.
Anak Gembala yang Tertidur Panjang di Akhir Zaman adalah sebuah novel getir tentang kehidupan orang-orang yang terpinggirkan, dalam hal lain saya bisa bilang bahwa mengangkat kisah ini tentu adalah keberanian tersendiri bagi penulisnya. Bayangkan tentang tokoh-tokoh yang berprofesi sebagai waria dan tokoh agama yang memilih Ahmadiyah sebagai jalan dakwah. Di Indonesia kombinasi keduanya sudah barang tentu adalah hal yang ajaib. Yang satu dianggap sampah masyarakat yang satu lagi dianggap organisasi terlarang bahkan dimusuhi oleh orang Islam sendiri. Kita diajak menyelami sisi manusiawi tokoh Rara Wilis dalam profesinya sebagai waria dengan kenyataan yang sebenarnya cukup mengagetkan pembaca di awal dengan kalimat ""pada Jumat siang yang gerah di pertengahan tahun 1994, Mbok Wilis memakai sepatu tumit tinggi untuk bertemu dengan seorang nabi."" Pada kalimat pembuka ini saja sebagai pembaca kita seolah dibuat takjub dan penasaran, seorang yang biasa dipanggil dengan sebutan ""mbok"" memakai sepatu tumit tinggi tentu adalah hal yang aneh sekaligus lucu bukan main apalagi ketika hal itu dilakukan ketika hendak bertemu seorang nabi. Ini adalah salah satu kalimat pembuka favorit saya selain kalimat pembuka dalam novel Cantik Itu Luka, dan hei, keduanya menggunakan cara yang sama sepertinya ya?
Rara Wilis yang waria menjalani hidup sehari-hari dengan nyebong alias melacurkan diri di jalanan. Tapi waria yang satu ini bukan sembarang waria karena dia adalah waria yang berpengaruh di wilayahnya. Pasar surut kehidupan Rara Wilis ditulis beriringan dengan kisah seekor babi lumpur yang menjadi alegori luar biasa dalam setiap irisan cerita. Alur cerita yang maju dan mundur ditulis sedemikian lancar dan mengalir, meski secara pribadi saya sempat memberikan jeda membaca buku ini karena merasa tidak ""terikat"" dengan buku-buku yang menggunakan alur seperti ini tetapi begitu masuk pertengahan buku, kita akan diajak memahami cara berpikir tokoh utama dan apa yang menjadi tujuan hidupnya kelak.
Jangan lupakan kisah tentang Pak Wo, pedagang jamu keliling yang juga seorang Ahmadiyah. Periode tahun 90an organisasi ini sudah menjadi sesuatu yang dianggap meresahkan dan tak ketinggalan tokoh kita satu ini juga mengalami periode-periode sulit tersebut. Yang semakin menjadi momok tentu saja ketika seseorang berusaha mengajarkan apa yang sudah ia pelajari dalam Ahmadiyah kepada orang banyak. Diramu dengan kesukaannya akan kisah wayang purwo membuat dakwah unik Pak Wo menjadi sesuatu yang ditolak orang-orang sekelilingnya.
Sesuatu yang sangat prinsipil seperti memilih menjadi waria dalam tokoh Rara Wilis dan mengemban dakwah Ahmadiyah pada tokoh Pak Wo diangkat ke permukaan dalam jalinan drama di mana si lemah akan dikalahkan dan yang berbeda akan disingkirkan. Kita melihat betapa negara kita belum ramah terhadap perbedaan apalagi jika menyakut agama atau pilihan hidup seperti dua tokoh kita tadi. Padahal sejatinya setiap orang tentu memiliki pandangan-pandangannya sendiri yang dipercayai dalam membentuk karakternya.
Yang menjadi daya tarik dari kisah ini adalah tentang bagaimana penemuan jati diri mampu mengantarkan seorang manusia menempuh berbagai jalan terjal dan berliku. Kita juga perlu memahami betapa kasih sayang Tuhan tak akan habis dan tak luput kepada semua makhlukNya.

""Lebih baik mati karena berusaha untuk hidup, ketimbang mati karena tidak mampu bertahan hidup."" Hal. 131.

Apalagi yang cukup kuat memotivasi manusia dalam mengarungi setiap cobaan hidup selain kenyatan bahwa kita semua mengharapkan akhir yang bahagia. Betapa setiap dari kita dalam menemuo persoalan dalam hidup tentu berharap akan datangnya sebuah cahaya di ujung terowongan sana dan kita akan serta merta menghamburkan diri padanya. Baik tokoh Rara Wilis dan tokoh Pak Wo bisa jadi adalah orang-orang kecil yang terpinggirkan dari masyrakat kita yang memuja segala hal yang normal dan penuh dengan status quo. Kedua tokoh ini seolah menjadi kebalikan dari apa yang selama ini kita jumpai. Mereka adalah orang-orang yang nyata dan menemukan persoalannya sendiri setiap hari, seraya terus mengharap surgaNya kelak mereka mungkin berbelok arah, berbuat dosa lagi tetapi jalannya tetap kepadaNya.
Saya membayangkan Rara Wilis dan Pak Wo sebagai dua sosok manusia yang sama seperti kita dan memerlukan perhatian dan penghargaan yang sama jua.
Salah satu perhatian saya dalam novel ini adalah tentang betapa kaya kosakata dan bahan mentah materi sang penulis dalam meramu kisah nyata ini menjadi sebuah fiksi. Disuguhkan dengan adegan babi dan segala polahnya satu hal, mengakrabi kehidupan malam para waria ketika melacur adalah soal lainnya dan inilah yang menjadi kekuatan novel ini menggiring pembaca hingga tamat. Saya merekomendasikan buku ini sebagai bacaan penting di akhir tahun dan tentu saja sebagai bahan renungan di awal tahun nanti, sudah benarkah selama ini jalan kita menuju surgaNya?",5
U2400029,NI240029,Armita Budiyanti,14 Maret 2018,"buku ini adalah buku terakhir dari serial kisah hantu-hantu cilik yang menjadi sahabat tak kasat mata-nya sang penulis. Janshen yang telah kita kenal (dari buku-buku Risa Saraswati sebelumnya ) adalah hantu paling muda, yang menemui ajalnya saat usianya belum genap 6 tahun. meski mengisahkan tentang hantu, namun buku ini jauh dari kesan horor. alih-alih menyeramkan, buku ini malah membuatku meneteskan air mata. ya, seperti kisah keempat sahabatnya yang lain (Peter, Hendrick, Hans dan William), kematian mereka yang tragis memang menyedihkan. Enak dibaca saat senggang...",3
U2400030,NI240025,Askell,24 Juni 2021,"Sampai selesai baca pun saya tak tahu buku ini sebenarnya mau bicara tentang apa. Bukan karena tidak punya cerita, tapi karena malahan terlalu banyak cerita yang tidak tuntas diceritakan. Ia bicara tentang kekuasaan, pengkhianatan, mata-mata, mistisme dsb. Penulis masukkan banyak elemen dan unsur dari berbagai khazanah dunia, namun gagal mengintegrasikannya dengan baik sebagai cerita. Imajinasi, riset, dan pengetahuan sangat baik, namun bukan pendongeng atau pencerita yang baik. Sebagai kisah-kisah terpisah mungkin menghibur, namun sebagai kesatuan cerita besar, struktur narasinya benar-benar berlubang, alur maju-mundurnya untuk menambal cerita masih menyisakan lubang-lubang lain yang tidak rapi dan rapat ketika ditinggalkan...mungkin penulis sengaja, tapi yang pasti ini bukan novel sejarah, dibilang novel detektif juga terlalu memaksakan...sastra apalagi. Ide besarnya saya tak tahu, Karakterisasinya lemah, Humor perihal homoseksualitas, pedophilia, pelacuran, dan tetek perempuan yang pada mulanya segar dan renyah untuk dikunyah lama kelamaan seperti kerupuk yang kelamaan kena angin, jadi garing karena keluar dari semua mulut tokohnya...dialog tokoh-tokohnyapun tidak hidup, tidak unik dan terkesan seragam.

Untuk 1000 halaman, kentang sih yah.

 ",3
U2400031,NI240046,Aswil,1 November 2008,"Buku yang mengasyikkan, tapi sayang nggak tamat.",4
